================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 10
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-26 20:31:23
  remove_target  : 68806
  accum_removed  : 68955
  selected_channels : 275
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1129412
  model_sparsity : 50.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       21    65.6%
  features.2                 96          3       69    71.9%
  features.3                144          6       92    63.9%
  features.4                144          7       90    62.5%
  features.5                192          7      122    63.5%
  features.6                192          7      125    65.1%
  features.7                192          8      124    64.6%
  features.8                384         12      247    64.3%
  features.9                384         15      250    65.1%
  features.10               384         15      250    65.1%
  features.11               384         15      237    61.7%
  features.12               576         19      385    66.8%
  features.13               576         26      398    69.1%
  features.14               576         24      372    64.6%
  features.15               960         31      641    66.8%
  features.16               960         40      625    65.1%
  features.17               960         39      612    63.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                 30          1       3.3%
  features.3                 58          1       1.7%
  features.4                 61          1       1.6%
  features.5                 77          1       1.3%
  features.6                 74          1       1.4%
  features.7                 76          1       1.3%
  features.8                149          1       0.7%
  features.9                149          1       0.7%
  features.10               149          1       0.7%
  features.11               162          1       0.6%
  features.12               210          2       1.0%
  features.13               204          2       1.0%
  features.14               228          2       0.9%
  features.15               350          2       0.6%
  features.16               375          2       0.5%
  features.17               387          2       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 15채널 제거
  features.11: 15채널 제거
  features.12: 19채널 제거
  features.13: 26채널 제거
  features.14: 24채널 제거
  features.15: 31채널 제거
  features.16: 40채널 제거
  features.17: 39채널 제거
  features.2: 3채널 제거
  features.3: 6채널 제거
  features.4: 7채널 제거
  features.5: 7채널 제거
  features.6: 7채널 제거
  features.7: 8채널 제거
  features.8: 12채널 제거
  features.9: 15채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                       91    -0.079904 4.255622e-08 1.464883e-08   0.7990   0.0000      201
features.14                       25    -0.079736 5.000289e-07 9.446190e-09   0.7974   0.0000      265
features.10                      126    -0.071622 1.014170e-07 8.975896e-09   0.9595   0.0270      137
features.3                        59    -0.068421 1.977972e-08 4.737753e-07   0.8421   0.0175       57
features.8                        59    -0.067568 2.202659e-08 2.276122e-08   0.6757   0.0000      137
features.15                      302    -0.066762 4.019846e-07 7.752273e-09   0.9255   0.0287      329
features.1                         2    -0.063636 3.247166e-08 2.677148e-05   0.6364   0.0000       25
features.15                      195    -0.061318 1.356112e-07 7.487637e-09   0.7679   0.0172      329
features.15                      645    -0.060745 9.445629e-07 7.989190e-09   0.9943   0.0430      329
features.13                      100    -0.060099 4.895837e-08 1.740376e-08   0.8227   0.0246      201
features.15                      467    -0.059312 1.645455e-07 7.721919e-09   0.7994   0.0229      329
features.13                      542    -0.058128 3.177263e-08 1.604506e-08   0.7143   0.0148      201
features.10                      155    -0.054730 7.091865e-08 9.117720e-09   0.9122   0.0405      137
features.15                      873    -0.054728 1.466050e-07 7.736602e-09   0.7794   0.0258      329
features.15                      385    -0.054155 1.147130e-07 7.629605e-09   0.7221   0.0201      329
features.12                      417    -0.053110 2.732279e-08 1.686379e-08   0.7033   0.0191      201
features.16                      491    -0.052674 1.961585e-07 4.557893e-09   0.6711   0.0160      329
features.17                      469    -0.048705 5.031441e-07 1.779459e-09   0.7668   0.0311      489
features.10                      270    -0.043919 2.156277e-08 7.151436e-09   0.4392   0.0000      137
features.14                      329    -0.043612 5.731058e-07 1.063921e-08   0.8326   0.0441      265
features.7                       105    -0.042667 3.042026e-07 8.162507e-08   0.5467   0.0133      105
features.10                      337    -0.042568 5.670139e-08 9.269725e-09   0.8514   0.0473      137
features.13                      425    -0.041379 3.290661e-08 1.762104e-08   0.7241   0.0345      201
features.13                      516    -0.040887 8.267329e-08 1.813104e-08   0.8966   0.0542      201
features.11                      137    -0.039752 1.683393e-07 6.252393e-08   0.7888   0.0435      169
features.14                       13    -0.039207 3.640592e-07 1.052684e-08   0.6696   0.0308      265
features.16                      736    -0.038770 8.273849e-08 4.164452e-09   0.4118   0.0027      329
features.7                        15    -0.038667 1.948667e-07 7.957025e-08   0.3867   0.0000      105
features.8                        90    -0.037838 2.611871e-08 2.917326e-08   0.7432   0.0405      137
features.16                      568    -0.036898 1.506663e-06 5.391287e-09   0.9947   0.0695      329
features.17                      919    -0.036269 4.086539e-07 1.781286e-09   0.6658   0.0337      489
features.16                      432    -0.036096 1.709757e-07 4.747799e-09   0.6257   0.0294      329
features.15                      108    -0.035244 8.440017e-08 7.803685e-09   0.6361   0.0315      329
features.9                       363    -0.034459 2.473253e-08 1.197570e-08   0.4662   0.0135      137
features.17                      627    -0.033161 2.768673e-07 1.700257e-09   0.4715   0.0155      489
features.11                      356    -0.031677 2.398279e-07 6.902191e-08   0.9317   0.0683      169
features.15                      471    -0.031232 3.387129e-08 7.169186e-09   0.3639   0.0057      329
features.15                      789    -0.030659 2.699909e-08 6.836184e-09   0.3066   0.0000      329
features.12                      299    -0.030622 1.915923e-08 1.761167e-08   0.6507   0.0383      201
features.11                      263    -0.028571 7.924942e-08 5.923831e-08   0.5652   0.0311      169
features.7                        38    -0.028000 2.671185e-07 8.224413e-08   0.5200   0.0267      105
features.9                         9    -0.027703 4.841446e-08 1.461328e-08   0.7635   0.0541      137
features.15                      497    -0.027221 1.197700e-07 8.091654e-09   0.7364   0.0516      329
features.16                      122    -0.026203 5.138413e-07 5.415912e-09   0.9118   0.0722      329
features.12                      132    -0.025837 2.073183e-07 1.874381e-08   0.9904   0.0813      201
features.10                       54    -0.025676 5.135229e-08 9.578184e-09   0.8041   0.0608      137
features.9                       163    -0.025000 3.272625e-08 1.403772e-08   0.6149   0.0405      137
features.14                      416    -0.024229 2.278798e-07 1.035660e-08   0.4405   0.0220      265
features.13                      167    -0.024138 2.729820e-08 1.807902e-08   0.6847   0.0493      201
features.2                        24    -0.024138 1.303901e-09 1.435056e-06   0.2414   0.0000       49
features.17                      586    -0.024093 2.363488e-07 1.721383e-09   0.4275   0.0207      489
features.13                      487    -0.023645 6.422198e-09 1.523579e-08   0.2365   0.0000      201
features.17                      847    -0.023575 1.815168e-07 1.647737e-09   0.3290   0.0104      489
features.10                      325    -0.022973 2.010363e-08 8.812883e-09   0.4122   0.0203      137
features.17                      719    -0.021762 4.377156e-07 1.875567e-09   0.7073   0.0544      489
features.11                      240    -0.021739 1.308214e-07 6.361245e-08   0.7205   0.0559      169
features.17                      570    -0.021244 1.248633e-07 1.452482e-09   0.2124   0.0000      489
features.3                        53    -0.021053 2.321632e-09 3.095462e-07   0.2105   0.0000       57
features.8                       203    -0.020946 1.006816e-08 2.573936e-08   0.3311   0.0135      137
features.6                        82    -0.020548 4.257179e-09 8.562205e-08   0.3288   0.0137       73
features.17                      498    -0.019948 2.280243e-07 1.729006e-09   0.4093   0.0233      489
features.16                      381    -0.018984 1.616153e-07 5.116520e-09   0.5989   0.0455      329
features.8                       202    -0.018919 1.360639e-08 2.747401e-08   0.4932   0.0338      137
features.13                      545    -0.018719 4.414792e-08 1.885438e-08   0.8079   0.0690      201
features.12                        2    -0.018182 7.440387e-09 1.530888e-08   0.2679   0.0096      201
features.15                      675    -0.018052 1.427938e-07 8.382393e-09   0.7736   0.0659      329
features.8                       132    -0.017568 9.722106e-08 3.322469e-08   0.9662   0.0878      137
features.5                        95    -0.017105 4.221702e-08 1.835429e-07   0.8816   0.0789       73
features.9                       105    -0.016892 3.246357e-08 1.452169e-08   0.5946   0.0473      137
features.17                      621    -0.016839 2.888504e-07 1.785250e-09   0.4948   0.0363      489
features.15                       35    -0.016619 1.724691e-08 6.868664e-09   0.1920   0.0029      329
features.16                      316    -0.016310 2.981904e-08 4.463935e-09   0.2353   0.0080      329
features.9                       333    -0.016216 1.662469e-08 1.223677e-08   0.3446   0.0203      137
features.5                        24    -0.015789 6.646860e-09 1.482184e-07   0.3947   0.0263       73
features.14                      303    -0.014978 1.312677e-07 9.671625e-09   0.1894   0.0044      265
features.8                        77    -0.014865 7.121147e-09 2.351647e-08   0.2095   0.0068      137
features.13                      502    -0.014778 1.241390e-08 1.741074e-08   0.4138   0.0296      201
features.16                      466    -0.014706 7.382863e-08 4.735871e-09   0.3877   0.0267      329
features.12                      146    -0.014354 5.592317e-09 1.481045e-08   0.1866   0.0048      201
features.11                      166    -0.014286 4.653731e-08 5.585261e-08   0.3106   0.0186      169
features.13                      330    -0.014286 1.010431e-07 1.937751e-08   0.9409   0.0887      201
features.9                       161    -0.014189 1.832180e-08 1.294736e-08   0.3851   0.0270      137
